time,cumulative_progress,automation_fraction,research_stock
2019.0,1.0,0.0,547098.3913248557
2019.111111111111,1.1191983222863537,0.0,578467.5851160216
2019.2222222222222,1.254571067002093,0.0,610973.0057921733
2019.3333333333333,1.406118234257327,0.0,644642.07087028
2019.4444444444443,1.5738398241520555,0.0,679502.2793366871
2019.5555555555557,1.7577358367778797,0.0,715581.1857313112
2019.6666666666667,1.9578062722174006,0.0,752906.3797678011
2019.7777777777778,2.1740511305473,0.0,791505.4629674829
2019.888888888889,2.4064704118377263,0.0,831406.0227385035
2020.0,2.654963288269409,0.0,872635.6124002747
2020.111111111111,2.930358797777707,0.0,915221.7247103141
2020.2222222222222,3.243087239328578,0.0,959191.7688451075
2020.3333333333333,3.5931806980774494,0.0,1004573.0471333546
2020.4444444444443,3.9806391740716256,0.0,1051392.7289054603
2020.5555555555557,4.405462667356015,0.0,1099677.8295373372
2020.6666666666667,4.86765117796989,0.0,1149455.1838920212
2020.7777777777778,5.367204705952319,0.0,1200751.424106509
2020.888888888889,5.904123251339093,0.0,1253592.955377399
2021.0,6.4784851156200745,0.0,1308005.932728479
2021.111111111111,7.114914996669943,0.0,1364016.23780555
2021.2222222222222,7.837358125331029,0.0,1421649.4559477665
2021.3333333333333,8.646119292097547,0.0,1480930.8543480213
2021.4444444444443,9.541198496995783,0.0,1541885.358271637
2021.5555555555557,10.522595740052658,0.0,1604537.531772531
2021.6666666666667,11.590311021287391,0.0,1668911.5541132903
2021.7777777777778,12.74434434072422,0.0,1735031.2007010975
2021.888888888889,13.984695698384167,0.0,1802919.8219914227
2022.0,15.311658387274417,0.0,1872600.324257097
2022.111111111111,16.780996138102335,0.0,1944095.150372543
2022.2222222222222,18.449933350670047,0.0,2017426.2612947999
2022.3333333333333,20.31827642828343,0.0,2092615.1188066923
2022.4444444444443,22.386025370958926,0.0,2169682.6697962508
2022.5555555555557,24.65318017871731,0.0,2248649.3237572564
2022.6666666666667,27.119740851564597,0.0,2329534.945819145
2022.7777777777778,29.78570738951951,0.0,2412358.8381097596
2022.888888888889,32.65107979259599,0.0,2497139.722954722
2023.0,35.71429574526029,0.0,2583895.7321838634
2023.111111111111,39.10855964507221,0.0,2672644.396826328
2023.2222222222222,42.96402096452596,0.0,2763402.62683088
2023.3333333333333,47.280135696440986,0.0,2856186.712194528
2023.4444444444443,52.05690384082898,0.0,2951012.320102842
2023.5555555555557,57.29432539771233,0.0,3047894.4588803183
2023.6666666666667,62.99240036708052,0.0,3146847.476642557
2023.7777777777778,69.15112874895439,0.0,3247885.0612974497
2023.888888888889,75.77051054334419,0.0,3351020.2405443927
2024.0,82.84832960300712,0.0,3456265.3806255036
2024.111111111111,90.69281611015313,0.0,3563632.159712508
2024.2222222222222,99.59943171924837,0.0,3673131.5705975858
2024.3333333333333,109.5702164589628,0.0,3784773.923870573
2024.4444444444443,120.50801883260455,0.0,3898568.842425825
2024.5555555555557,131.6191294664079,0.0,4014525.2600227185
2024.6666666666667,142.7302405775165,0.0,4132651.4231880503
2024.7777777777778,153.84135168862508,0.0,4252954.8800535565
2024.888888888889,164.95246279973367,0.0,4375442.490906045
2025.0,176.06357391084225,0.0,4500120.43242463
2025.111111111111,187.17468502195084,0.0,4626994.197680733
2025.2222222222222,198.28579613305945,0.0,4756068.596138083
2025.3333333333333,209.39690724416803,5.132457255810618e-36,4887347.753652717
2025.4444444444443,220.5080183552766,2.297808480215874e-26,5020835.114262734
2025.5555555555557,231.6191294664079,1.0287321547617015e-16,5156533.459825353
2025.6666666666667,242.7302405775165,4.605646389767956e-07,5294444.954343682
2025.7777777777778,253.84135168862508,0.9495625102553443,5467479.705701085
2025.888888888889,264.95246279973367,0.9499999999999023,5665889.223244434
2026.0,276.06357391084225,0.95,5887196.935003094
2026.111111111111,287.17468502195084,0.95,6134030.881739012
2026.2222222222222,298.2857961330594,0.95,6409320.479266781
2026.3333333333333,309.396907244168,0.95,6716339.9705955265
2026.4444444444443,320.5080183552766,0.95,7058713.982106978
2026.5555555555557,331.6191294664079,0.95,7440401.266311134
2026.6666666666667,342.7302405775165,0.95,7865903.098925019
2026.7777777777778,353.8413516886251,0.95,8340275.182811704
2026.888888888889,364.95246279973367,0.95,8869127.647977278
2027.0,376.06357391084225,0.95,9458625.051571576
2027.111111111111,387.17468502195084,0.95,10115642.841860471
2027.2222222222222,398.2857961330594,0.95,10847818.807105362
2027.3333333333333,409.396907244168,0.95,11663578.50607526
2027.4444444444443,420.5080183552766,0.95,12572459.06069395
2027.5555555555557,431.6191294664079,0.95,13585112.041629924
2027.6666666666667,442.7302405775165,0.95,14713303.468287889
2027.7777777777778,453.8413516886251,0.95,15969964.581820944
2027.888888888889,464.95246279973367,0.95,17369652.716465715
2028.0,476.06357391084225,0.95,18928254.246479496
2028.111111111111,487.17468502195084,0.95,20663665.068106696
2028.2222222222222,498.2857961330594,0.95,22595947.1115435
2028.3333333333333,509.396907244168,0.95,24747328.340937898
2028.4444444444443,520.5080183552766,0.95,27142214.3105695
2028.5555555555557,531.6191294664079,0.95,29807937.59280052
2028.6666666666667,542.7302405775165,0.95,32774458.734121315
2028.7777777777778,553.8413516886251,0.95,36075263.76207526
2028.888888888889,564.9524627997337,0.95,39747938.611579955
2029.0,576.0635739108423,0.95,43834169.12493241
2029.111111111111,587.1746850219508,0.95,48379741.416535005
2029.2222222222222,598.2857961330594,0.95,53435675.59549247
2029.3333333333333,609.396907244168,0.95,59058115.64301151
2029.4444444444443,620.5080183552766,0.95,65309455.39202019
